mfd_date,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,total_purchase_amt,total_redeem_amt,direct_purchase_amt,share_amt,consume_amt,transfer_amt,fea0,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9
2013/7/1,1.5787,6.307,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,32488348,5525022,32458786,29562,382160,5142862,-3.3794,-0.3535,-0.5724,-0.522,-0.1922,-0.3148,0.0799,-0.0999,-0.0239,0.0028
2013/7/2,1.5461,6.174,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,29037390,2554548,29007510,29880,350066,2204482,-1.6895,-0.3767,-0.5395,-0.7632,-0.2631,-0.039,-0.0174,-0.0794,-0.0249,0.0055
2013/7/3,1.467,6.034,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,27270770,5953867,27234156,36614,454406,5499461,-0.7331,-0.3265,-0.5288,-0.762,-0.4167,0.1166,-0.0393,-0.1209,-0.0292,-0.0013
2013/7/4,1.4223,5.903,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,18321185,6410729,18282230,38955,535391,5875338,-0.3711,-0.2115,-0.6385,-0.6685,-0.4533,0.0225,-0.0832,-0.1306,-0.0133,-0.0035
2013/7/5,1.3845,5.739,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,11648749,2763587,11607991,40758,697926,2065661,-0.0236,-0.0144,-0.5198,-0.7478,-0.5011,-0.0182,-0.1104,-0.1234,-0.0113,0.0034
2013/7/6,1.3674,5.582,3.3566,3.7516,4.099,4.5052,4.8876,4.2262,4.2741,4.4001,36751272,1616635,36709190,42082,300533,1316102,0.3051,0.1309,-0.4095,-0.8327,-0.4769,-0.0149,-0.1173,-0.0935,-0.0099,-0.0049
2013/7/7,1.3671,5.425,3.2985,3.7029,3.8887,4.3498,4.8486,4.2253,4.2745,4.4001,8962232,3982735,8920335,41897,336880,3645855,0.5808,0.2386,-0.3751,-0.8777,-0.3854,-0.0038,-0.1062,-0.0606,-0.0076,-0.0034
2013/7/8,1.3129,5.279,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,57258266,8347729,57218409,39857,852530,7495199,0.7897,0.3461,-0.394,-0.8797,-0.2468,-0.0205,-0.1067,-0.0714,-0.0086,-0.0006
2013/7/9,1.3096,5.15,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,26798941,3473059,26755943,42998,765509,2707550,0.8902,0.4544,-0.4221,-0.8226,-0.1897,-0.0587,-0.1097,-0.048,-0.0017,-0.0049
2013/7/10,1.2792,5.047,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,30696506,2597169,30644691,51815,603737,1993432,0.7911,0.5703,-0.3187,-0.6891,-0.3196,0.0143,-0.0931,-0.046,0.002,-0.0023
